web-scraper-order,web-scraper-start-url,empresas,empresas-href,name,description,site,site-href,logo-src
"1534195068-525","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=r","3.9






Solvay Group (Rhodia)

236 avaliações

416 salários","https://www.lovemondays.com.br/trabalhar-na-solvay-group-rhodia","Solvay Group (Rhodia)","Descrição: A Rhodia é uma empresa do grupo Solvay, uma companhia industrial internacional que oferece uma ampla gama de produtos e soluções que contribuem para melhorar a qualidade de vida. Com 14.250 empregados e vendas de €5.17 bilhões em 2011, a Rhodia é líder mundial no desenvolvimento e produção de especialidades químicas. Fornencem produtos de valor agregado e soluções de alto desempenho para mercados diversificados, incluindo automotivo, eletrônico, aromas e fragrâncias, saúde, cuidados pessoais e domiciliares, bens de consumo e industria, por meio de suas 11 GBU’s (Unidades Globais de Negócios).","http://www.solvay.com/","http://www.solvay.com/","https://thumb.lovemondays.com.br/FY0jR-HbEi-Dedr-smn0yAKYEgo=/68x68/https://media.lovemondays.com.br/logos/49c990/solvay-group-rhodia-original.jpg"
"1534195126-532","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=r","3.3






Raia Drogasil

1375 avaliações

2685 salários","https://www.lovemondays.com.br/trabalhar-na-raia-drogasil","Raia Drogasil","Descrição: A Raia Drogasil é uma rede de farmácias criada em 2011 como um dos dez maiores grupos varejistas do Brasil, a partir da fusão entre Raia S.A. e Drogasil S.A. Atua em 12 estados, que representam 83% do mercado consumidor farmacêutico brasileiro: São Paulo, Rio de Janeiro, Minas Gerais, Paraná, Espírito Santo, Goiás, Distrito Federal, Rio Grande do Sul, Santa Catarina, Bahia, Mato Grosso e Mato Grosso do Sul. Opera por meio de sete centros de distribuição, localizados em cinco estados, que totalizam mais de 68 mil m2 de capacidade de armazenamento e garantem agilidade no abastecimento das lojas. Atualmente, possui mais de 20 mil colaboradores.","http://www.raiadrogasil.com.br/","http://www.raiadrogasil.com.br/","https://thumb.lovemondays.com.br/C3OQHegblJAyAwv_hc51aufIu6Q=/68x68/https://media.lovemondays.com.br/logos/0bd57a/raia-drogasil-original.png"
"1534195177-541","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=r","3.6






Rede Record

257 avaliações

467 salários","https://www.lovemondays.com.br/trabalhar-na-rede-record","Rede Record","Descrição: Rede Record é uma rede de rádio e televisão brasileira fundada por Paulo Machado de Carvalho, em 1953, sendo a mais antiga emissora de TV em atividade no país. No final da década de 1980, o canal, que antes pertencia a Paulo Machado de Carvalho e Silvio Santos, foi comprado pelo empresário e líder espiritual Edir Macedo, fundador da Igreja Universal do Reino de Deus. As emissoras co-geradoras da Rede Record são a TV Record São Paulo e a TV Record Rio de Janeiro. A partir de 2007, consolidou-se como a segunda rede de TV no Brasil em audiência e faturamento - perdendo apenas para a Rede Globo. Hoje, é a 28º maior emissora de TV comercial do mundo. Brasileiras, somente Record e Rede Globo aparecem no ranking. Sua sede está localizada no bairro da Barra Funda, na cidade de São Paulo.","http://rederecord.r7.com/","http://rederecord.r7.com/","https://thumb.lovemondays.com.br/gx8PZKwEL3tq4mF-4NDkIroNsFU=/68x68/https://media.lovemondays.com.br/logos/1193d3/rede-record-original.png"
"1534194966-514","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=r","3.5






RM Telecom

132 avaliações

228 salários","https://www.lovemondays.com.br/trabalhar-na-rm-telecom","RM Telecom","Descrição: A RM Telecom é Parceiro Vivo Empresas há 10 anos. Localizada sua matriz em Bauru e sua filial em Avaré, atende todo o Estado de São Paulo comercializando planos Vivo Empresas trazendo comunicação e economia para sua empresa. Sua meta é proporcionar aos clientes uma experiência de atendimento única, baseada efetivamente em suas reais necessidades com transparência e uma postura consultiva para melhor atender aos anseios com condições comerciais adequadas e competitivas cultivando um pós venda que faz da RM e seus clientes uma relação de parceria e confiança.","http://rmbrasil.com.br/","http://rmbrasil.com.br/","https://thumb.lovemondays.com.br/9kJW3NBeDVkf88mdMjs3t7NAOaI=/68x68/https://media.lovemondays.com.br/logos/66e72f/rm-telecom-original.png"
"1534195170-540","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=r","3.4






Reckitt Benckiser (RB)

182 avaliações

356 salários","https://www.lovemondays.com.br/trabalhar-na-reckitt-benckiser-rb","Reckitt Benckiser (RB)","Descrição: A RB (Reckitt Benckiser) é a empresa global líder em bens de consumo para saúde e higiene. Guiada pelo propósito de oferecer soluções inovadoras para vidas mais saudáveis e lares mais felizes, a RB tem operações em mais de 60 países. Da base do bem-estar e nutrição infantil a higiene básica da casa, nossas marcas ajudam pessoas a viverem mais saudáveis e a terem vidas mais felizes.","http://www.rb.com/br","http://www.rb.com/br","https://thumb.lovemondays.com.br/HH3-H4yjFg11fmuwcQA0WQZDS3o=/68x68/https://thumb.lovemondays.com.br/image/83b8e4faae69409fa9581cb43eaa8c57/logos/b7ab54/reckitt-benckiser.jpg"
"1534195031-522","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=r","3.5






Restoque

103 avaliações

253 salários","https://www.lovemondays.com.br/trabalhar-na-restoque","Restoque","Descrição: A Companhia foi fundada em 1982, sob o nome Restoque Comércio de Roupas Ltda., por Waltraut Irene Plebst Guida e Rahyja Calixto Afrange, duas renomadas profissionais do mercado de moda brasileiro, com experiências acumuladas de 34 anos. Em 1988, Waltraut Guida, responsável pela parte de estilo e desenvolvimento de produtos, e Rahyja Afrange, responsável pela área comercial, criaram a marca Le Lis Blanc, com o objetivo de desenvolver um negócio de moda feminina direcionada ao público de alto padrão aquisitivo. Hoje, com mais de 20 anos de atuação, a Companhia acredita que a Le Lis Blanc tornou-se referência nacional em termos de sofisticação, estilo e qualidade.","http://www.restoque.com.br/","http://www.restoque.com.br/","https://thumb.lovemondays.com.br/4DFUBbJwS9tBXLzkD_nyKpWMM0A=/68x68/https://media.lovemondays.com.br/logos/444f29/restoque-original.png"
"1534195107-530","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=r","3.9






Rossi Residencial

113 avaliações

182 salários","https://www.lovemondays.com.br/trabalhar-na-rossi-residencial","Rossi Residencial","Descrição: Com mais de três décadas no mercado, a Rossi é uma das principais construtoras do Brasil. Em sua história, já entregou mais de 86 mil unidades e tem, atualmente, 124 empreendimentos em construção. Atua em diversos mercados, como edifícios e condomínios residenciais espalhados por cidades de doze estados do território brasileiro. Possui mais de mil empregados em seu quadro de funcionários.","http://www.rossiresidencial.com.br/","http://www.rossiresidencial.com.br/","https://thumb.lovemondays.com.br/AzPhY73atd3Y4EdVlYz4EokMl-w=/68x68/https://media.lovemondays.com.br/logos/78526d/rossi-residencial-original.png"
"1534195019-521","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=r","3.5






Rio Quente Resorts

36 avaliações

102 salários","https://www.lovemondays.com.br/trabalhar-na-rio-quente-resorts","Rio Quente Resorts","Descrição: O Rio Quente Resorts é um complexto de hotéis e parques aquáticos localizado em Caldas Novas, no estado de Goiás. Possui diversas opções de lazer para seus hóspedes, sendo considerado um dos principais pontos turísticos do país. É conhecido por suas águas quentes, com temperatura acima dos 37°C e retiradas do lençol freático da região.","http://www.rioquenteresorts.com.br/","http://www.rioquenteresorts.com.br/","https://thumb.lovemondays.com.br/Kv_H5E6arzyh_w_LDNxJdS0fUuE=/68x68/https://media.lovemondays.com.br/logos/223b61/rio-quente-resorts-original.jpg"
"1534195159-538","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=r","3.5






Rumo

260 avaliações

680 salários","https://www.lovemondays.com.br/trabalhar-na-rumo","Rumo","Descrição: A nova companhia, resultante da fusão entre Rumo e ALL, nasce com 12,9 mil quilômetros de malha ferroviária, 19 milhões de toneladas de capacidade de elevação no porto de Santos, 966 locomotivas, 28 mil vagões, 11,7 mil funcionários diretos e indiretos. Nesse período inicial de integração, a empresa irá operar com foco na expansão da capacidade de operação, redução de custos e aumento da eficiência operacional.","http://www.rumoall.com","http://www.rumoall.com/","https://thumb.lovemondays.com.br/JC1eBATNxgGFJMg9aGuEhBUTIXI=/68x68/https://media.lovemondays.com.br/logos/14ffd9/rumoall-original.png"
"1534195154-537","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=r","3.8






Renault

296 avaliações

615 salários","https://www.lovemondays.com.br/trabalhar-na-renault","Renault","Descrição: A Renault S.A. é uma fabricante francesa de veículos fundada em 1898. No Brasil, está presente desde 1998, na cidade de São José dos Pinhais (PR) onde atualmente são produzidos 380 mil unidades anualmente, sendo veículos, utilitários, motores e plataformas. Hoje, a Renault é a quinta marca mais vendida no Brasil. Possui, atualmente, quase 300 concessionárias em todo o País.","http://www.renault.com.br","http://www.renault.com.br/","https://thumb.lovemondays.com.br/4mT-HTvu8_F-Id3MWoT7WsvdwS4=/68x68/https://media.lovemondays.com.br/logos/07858c/renault-original.png"
