web-scraper-order,web-scraper-start-url,empresas,empresas-href,name,description,site,site-href,logo-src
"1534196078-658","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=v","3.7






VivaReal

196 avaliações

400 salários","https://www.lovemondays.com.br/trabalhar-na-vivareal","VivaReal","Descrição:O VivaReal é a maior plataforma de busca de imóveis online, conectando as pessoas que procuram imóveis com mais de 20.000 corretores e imobiliárias e 4 milhões de imóveis cadastrados no nosso site. Somos uma das empresas de internet que mais cresce no Brasil, com mais de 15 milhões de visitas ao nosso site web e mobile todo os meses. E com todo esse crescimento, nossas equipes não param de ter novos desafios.","http://www.vivareal.com.br/","http://www.vivareal.com.br/","https://thumb.lovemondays.com.br/fKXKEffZWqjETk1wnWCZOvWuBK0=/68x68/https://media.lovemondays.com.br/logos/1816e2/vivareal-original.png"
"1534196034-649","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=v","3.4






Fundação Getúlio Vargas (FGV)

252 avaliações

441 salários","https://www.lovemondays.com.br/trabalhar-na-fundacao-getulio-vargas-fgv","Fundação Getúlio Vargas (FGV)","Descrição:A Fundação Getúlio Vargas (FGV) foi criada em 1944 com o objetivo de preparar pessoas para a administração pública e privada do País. Com foco no campo da administração, ampliou seu leque de cursos para ciências sociais e econômicas nos anos seguintes. Atualmente, possui 3.460 alunos de gradução, 1.291 alunos de mestrado, 377 alunos de doutorado, 110 universidades internacionais parceiras, 3 mil produções de professores, pesquisadores e técnicos.","http://www.fgv.br/","http://www.fgv.br/","https://thumb.lovemondays.com.br/KBwwzoTzJNekJ4hud9cGwVR-tuI=/68x68/https://media.lovemondays.com.br/logos/62521b/fundacao-getulio-vargas-fgv-original.png"
"1534196091-661","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=v","3.5






Via Varejo (Casas Bahia, Ponto Frio)

1113 avaliações

2507 salários","https://www.lovemondays.com.br/trabalhar-na-via-varejo-casas-bahia-ponto-frio","Via Varejo (Casas Bahia, Ponto Frio)","Descrição:A Via Varejo S.A. é a empresa responsável pela administração de duas importantes varejistas brasileiras, Casas Bahia e Pontofrio. A companhia está presente em mais de 400 municípios brasileiros, 18 Estados e no Distrito Federal, com mais de 1000 lojas e cerca de 67 mil colaboradores. A empresa, que tem sede administrativa no município de São Caetano do Sul, na Grande São Paulo (SP), posiciona-se como uma das maiores varejistas de eletroeletrônicos do mundo, com receita bruta de vendas de R$ 24,9 bilhões em 2013. A razão social Via Varejo S.A. foi adotada em fevereiro de 2012, em substituição à Globex Utilidades S/A, e assumiu a nova identidade corporativa que traz em si as cores do Brasil.","http://www.viavarejo.com.br/","http://www.viavarejo.com.br/","https://thumb.lovemondays.com.br/5idBh4iN3TbOT6Mj-h6h2QON230=/68x68/https://media.lovemondays.com.br/logos/a2fcf6/via-varejo-casas-bahia-ponto-frio-original.jpg"
"1534196022-646","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=v","1.0






VMC Serviços de Apoio Empresarial

3 avaliações

7 salários","https://www.lovemondays.com.br/trabalhar-na-vmc-servicos-de-apoio-empresarial","VMC Serviços de Apoio Empresarial","Site
http://www.vmcservicos.com.br","http://www.vmcservicos.com.br","http://www.vmcservicos.com.br/","https://thumb.lovemondays.com.br/awdmItkxqTJbBuoZ14u8nRPQl6I=/68x68/https://media.lovemondays.com.br/logos/35a0e1/vmc-servicos-de-apoio-empresarial-original.png"
"1534195982-637","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=v","2.8






Via Veneto

17 avaliações

72 salários","https://www.lovemondays.com.br/trabalhar-na-via-veneto","Via Veneto","Descrição:Uma das maiores redes de lojas masculinas do país, com mais 50 lojas em todo o Brasil. A Via Veneto foi fundada em 1975 e o seu nome é uma homenagem à famosa avenida romana, considerada epicentro da moda masculina.","http://www.viaveneto.com.br/","http://www.viaveneto.com.br/","https://thumb.lovemondays.com.br/JJg_4eG5qQPoLEYgu8LH4O2TuXk=/68x68/https://media.lovemondays.com.br/logos/8c2939/via-veneto-original.jpg"
"1534195973-635","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=v","4.2






Venturus

83 avaliações

178 salários","https://www.lovemondays.com.br/trabalhar-na-venturus","Venturus","Descrição:O Venturus, fundado em 1995, é um dos mais reconhecidos institutos de pesquisa, desenvolvimento e inovação no Brasil. Localizado em Campinas, cidade no interior de São Paulo, atende empresas e indústrias de diversos segmentos do mercado nacional e internacional, como telecomunicações, tecnologia da informação, manufatura, água e energia, entre outros. Atualmente, o Venturus possui mais de 200 colaboradores.","http://www.venturus.org.br/","http://www.venturus.org.br/","https://thumb.lovemondays.com.br/9qSHNg4GO4XPL5HhtZLYj6RpKcA=/68x68/https://thumb.lovemondays.com.br/image/408b3c0db6434a9a828a31919425be83/logos/2e3435/venturus.png"
"1534196003-642","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=v","3.9






Vale Fertilizantes

140 avaliações

302 salários","https://www.lovemondays.com.br/trabalhar-na-vale-fertilizantes","Vale Fertilizantes","Descrição:A Vale Fertilizantes é uma empresa que atua no segmento de fertilizantes, ração animal e químicos. Seus fertilizantes são compostos por três nutrientes, que são nitrogênio, fósforo e potássio. Opera em diversos locais do Brasil, com doze unidades em Patos de Minas (MG), Uberaba (MG), Catalão (GO), Taquari Vassouras (SE), Cubatão (SP), Cajati (SP), Araxá (MG), Guará (SP) e Tapira (MG), com a produção de cloreto de potássio, fertilizantes fosfatados e nitrogenados, além de rocha fosfática.","http://www.valefertilizantes.com/","http://www.valefertilizantes.com/","https://thumb.lovemondays.com.br/AYbdj-QdzKObPXkmqnVw06cGARc=/68x68/https://media.lovemondays.com.br/logos/4fc12d/vale-fertilizantes-original.png"
"1534195977-636","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=v","3.2






Vivante

58 avaliações

195 salários","https://www.lovemondays.com.br/trabalhar-na-vivante","Vivante","Descrição:A Vivante é uma empresa dedicada à eficiência. Atua dentro de seus clientes para manter e preservar seus equipamentos e instalações, otimizar seus recursos e aumentar o conforto de todas as pessoas que utilizam os seus espaço. Está presente em mais de 1.250 pontos de operação, atendendo empresas dos mais variados segmentos e dos portes mais diversos. Em 15 anos de operação, acumulou um incomparável know-how em gestão integrada de serviços de suporte, e conseguiu combinar serviços e resultados de modo único, para cada cliente.","http://www.vivante.com.br/","http://www.vivante.com.br/","https://thumb.lovemondays.com.br/tTWiiQJshA4J2WBaUE-Wlvu6wW4=/68x68/https://media.lovemondays.com.br/logos/2ae595/vivante-original.jpg"
"1534195996-641","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=v","3.3






Casa & Vídeo

165 avaliações

249 salários","https://www.lovemondays.com.br/trabalhar-na-casa-e-video","Casa & Vídeo","Descrição:Fundada em 2009, no Rio de Janeiro, a Casa & Vídeo é uma empresa que comercializa produtos como utilidades domésticas, ferramentas, climatização e eletroportávteis. É líder de vendas no varejo no estado do Rio de Janeiro. Possui 79 lojas em 28 cidades, além de opções de venda direta por telefone e internet. Também tem uma central de distribuição que abastece todos os canais de venda da empresa.","http://www.casaevideo.com.br/","http://www.casaevideo.com.br/","https://thumb.lovemondays.com.br/l22hHBph3c5H6JxmqtLPDSZG3eA=/68x68/https://media.lovemondays.com.br/logos/1fb872/casa-e-video-original.png"
"1534195992-640","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=v","3.2






Vivara

94 avaliações

187 salários","https://www.lovemondays.com.br/trabalhar-na-vivara","Vivara","Descrição:A família romena Kaufman imigrou para o Brasil e inaugurou a primeira loja Vivara em 1962, localizada na Rua 7 de abril, no centro de São Paulo. A pequena loja tinha o compromisso de oferecer peças criadas com o mesmo cuidado com que os antigos ourives faziam joias exclusivas e eternas, como fazem até hoje, mas contando com mais de 100 lojas espalhadas por todo o país.","http://www.vivara.com.br","http://www.vivara.com.br/","https://thumb.lovemondays.com.br/vGeIHZ3ZhsHU6l5KijT6o8WXvug=/68x68/https://media.lovemondays.com.br/logos/bd47f6/vivara-original.jpg"
