web-scraper-order,web-scraper-start-url,empresas,empresas-href,name,description,site,site-href,logo-src
"1534192740-281","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=j","JExperts

0 avaliações

0 salários","https://www.lovemondays.com.br/trabalhar-na-jexperts","JExperts","null","null","",""
"1534192748-283","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=j","3.7






Farmácias São João

72 avaliações

227 salários","https://www.lovemondays.com.br/trabalhar-na-farmacias-sao-joao","Farmácias São João","Descrição: A Rede de Farmácias São João está entre as maiores redes varejistas de medicamentos do país, com cerca de 400 estabelecimentos no Rio Grande do Sul e em Santa Catarina.","http://www.saojoaofarmacias.com.br/","http://www.saojoaofarmacias.com.br/","https://thumb.lovemondays.com.br/ro1l0-jMo8upsp91X9gNZ8ZuYpQ=/68x68/https://media.lovemondays.com.br/logos/7ff943/farmacias-sao-joao-original.png"
"1534192817-300","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=j","3.5






JTI Brasil (Japan Tobacco International)

27 avaliações

80 salários","https://www.lovemondays.com.br/trabalhar-na-jti-brasil-japan-tobacco-international","JTI Brasil (Japan Tobacco International)","Descrição: A Japan Tobacco International (JTI) faz parte do Grupo de Empresas Japan Tobacco (JT), uma das líderes internacionais em produtos de tabaco. Com sede em Genebra, na Suíça, fabrica e vende algumas das mais conhecidas marcas de cigarro do mundo, entre elas Winston e Camel. Hoje opera em 120 países e conta com 40 mil profissionais, de 100 diferentes nacionalidades. É por isso que trabalhar na JTI é estar em conexão com a cultura global e vivenciar a mobilidade internacional.","https://www.jti.com/pt-br/americas/brazil","https://www.jti.com/pt-br/americas/brazil","https://thumb.lovemondays.com.br/Pcpqxa2WEOKPsyl3j3wIB3ZJRrc=/68x68/https://thumb.lovemondays.com.br/image/25b3fa6e7adb4c6488ea8e966f7ee3ed/logos/632345/jti-brasil-japan-tobacco-international.PNG"
"1534192721-276","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=j","3.6






Alatur JTB

42 avaliações

81 salários","https://www.lovemondays.com.br/trabalhar-na-alatur-jtb","Alatur JTB","Descrição: A Alatur JTB figura entre as empresas líderes do mercado de viagens corporativas do Brasil, as chamadas TMC's - Travel Management Companies.

Nascida da Join Venture entre uma líder brasileira, o Grupo Alatur, e a Gigante global, JTB, é uma das principais empresas brasileira de viagens, eventos e mobilidade corporativa.

Representa a HRG Worldwide no Brasil, uma das maiores companhias globais de gestão de viagens corporativas e mantém joint-venture com a MCI, também uma empresa global, líder no gerenciamento de associações, comunicação e eventos, desde 2009. A partir de 2013, com a JTB, aumenta o seu alcance global.","http://www.alaturjtb.com/","http://www.alaturjtb.com/","https://thumb.lovemondays.com.br/QhWANjra27M2EznhTclj6ycSBc0=/68x68/https://media.lovemondays.com.br/logos/c5ff8c/alatur-jtb-original.png"
"1534192801-296","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=j","3.8






Jabil

62 avaliações

100 salários","https://www.lovemondays.com.br/trabalhar-na-jabil","Jabil","Descrição: Construída em uma base de funcionários capacitados em mais de 60 fábricas em 25 países, a Jabil se esforça para ser a líder global em soluções de fabricação, parceiro mundial. A combinação única de experiência global, inteligência, desempenho analítico e financeiro da Jabil tem contribuído para o sucesso das marcas mais conhecidas do mundo. Ajudam empresas de design, fabricação e levar produtos ao mercado rapidamente, de forma rentável e eficiente. Mas mais do que isso, a Jabil ajuda os clientes a projetar sua cadeia de suprimentos inteligente para ser forma ágil, econômica e eficaz, mesmo em tempos de incerteza. E é isso que leva ao sucesso a longo prazo.","http://www.jabil.com/","http://www.jabil.com/","https://thumb.lovemondays.com.br/5v90tWY59WRBXFr-4uz6jE2uX3k=/68x68/https://media.lovemondays.com.br/logos/a7d48c/jabil-original.png"
"1534192732-279","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=j","2.2






JAC Motors

22 avaliações

62 salários","https://www.lovemondays.com.br/trabalhar-na-jac-motors","JAC Motors","Descrição: A Jianghuai Automobile Co. Ltd – JAC Motors – foi fundada em 1969 dedicando-se, inicialmente, a produção de caminhões. Hoje possui uma diversificada linha de veículos, que atendem aos diversos segmentos do mercado automobilístico chinês. Tem um centro de design em Turim, na Itália, em cooperação com o estúdio Pininfarina e outro em Tóquio, no Japão, que se dedica ao design interior dos carros.","http://www.jacmotorsbrasil.com.br/","http://www.jacmotorsbrasil.com.br/","https://thumb.lovemondays.com.br/THOFASh8RlaN2ZUaXQkpp5gRx6k=/68x68/https://media.lovemondays.com.br/logos/9cc6b9/jac-motors-original.png"
"1534192783-292","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=j","3.3






Universidade Nove de Julho (UNINOVE)

121 avaliações

303 salários","https://www.lovemondays.com.br/trabalhar-na-universidade-nove-de-julho-uninove","Universidade Nove de Julho (UNINOVE)","Descrição: Com uma história de mais de 60 anos de intensa dedicação em prol da educação, a Universidade Nove de Julho (UNINOVE) é uma das maiores instituições privadas de ensino superior e pesquisa do Brasil.","http://www.uninove.br","http://www.uninove.br/","https://thumb.lovemondays.com.br/0y6Kd6pvWHDzovdR_wQ-tu4HCNo=/68x68/https://media.lovemondays.com.br/logos/3f18bb/universidade-nove-de-julho-uninove-original.png"
"1534192728-278","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=j","4.0






Hospital 9 De Julho

70 avaliações

123 salários","https://www.lovemondays.com.br/trabalhar-na-hospital-9-de-julho","Hospital 9 De Julho","Descrição: Fundado em 1955, o Hospital 9 de Julho é um dos mais tradicionais da cidade de São Paulo, com um dos mais modernos centros cirúrgicos do país e estrutura completa para exames, diagnósticos e tratamentos especializados. O hospital possui 318 leitos, 4 mil médicos cadastrados, 14 salas cirúrgicas, 1.700 colaboradores e mil profissionais de enfermagem.","http://www.h9j.com.br","http://www.h9j.com.br/","https://thumb.lovemondays.com.br/Zhokm5pzdOI1lVanET312Owo7wE=/68x68/https://media.lovemondays.com.br/logos/c41f4e/hospital-9-de-julho-original.png"
"1534192791-294","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=j","3.6






Pandora Joias

90 avaliações

146 salários","https://www.lovemondays.com.br/trabalhar-na-pandora","Pandora Joias","Descrição: Nos últimos 30 anos, a PANDORA tem mantido seu compromisso de tornar joias de alta qualidade acessíveis a todas as mulheres singulares do mundo. Muitas facetas, histórias, momentos e desejos tornam cada mulher o que ela é – revelando sua beleza. A PANDORA busca inspirar o senso de individualidade em todas as mulheres, ajudando-as a compartilhar sua própria história. Para comemorar 30 anos de celebração das mulheres, a PANDORA convida você a conhecer mais a fundo uma história repleta de paixão e orgulho.","http://www.pandorajoias.com.br","http://www.pandorajoias.com.br/","https://thumb.lovemondays.com.br/L9a3xyQv59i5vMaiwb24Be7fCn0=/68x68/https://thumb.lovemondays.com.br/image/bcb12e0054414fadb384c62949d7d7ff/logos/0322b7/pandora.jpg"
"1534192773-289","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=j","3.1






Prefeitura Municipal do Rio de Janeiro

135 avaliações

387 salários","https://www.lovemondays.com.br/trabalhar-na-prefeitura-da-cidade-do-rio-de-janeiro","Prefeitura Municipal do Rio de Janeiro","null","null","","https://thumb.lovemondays.com.br/jLjWRONzjANu2zV7bmuy-O47QM0=/68x68/https://media.lovemondays.com.br/logos/c32872/prefeitura-da-cidade-do-rio-de-janeiro-original.png"
