web-scraper-order,web-scraper-start-url,empresas,empresas-href,name,description,site,site-href,logo-src
"1534195462-557","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=s","4.2






SAP

241 avaliações

492 salários","https://www.lovemondays.com.br/trabalhar-na-sap","SAP","Descrição:Líder mundial no mercado de aplicações de software empresarial, a SAP (NYSE: SAP) melhora a vida das pessoas e dos negócios há 22 anos no Brasil. Ao abranger desde a operação à análise executiva, em diversos dispositivos fixos e móveis, a SAP capacita pessoas e organizações a trabalhar juntas e a explorar os negócios com mais eficiência, além de ajudar há mais de 10 anos comunidades carentes no Brasil, gerando impacto em mais de 13 mil pessoas. Somando-se à rápida adoção do S/4HANA no país e ao uso inteligente da nuvem, a SAP leva negócios no Brasil para novos patamares.



Com 44 anos de atuação no mundo, a SAP possui 84 mil funcionários e 345 mil clientes em 180 países. Conta com mais de 100 centros de inovação e de desenvolvimento e mais de 110 mil usuários de nuvem. O faturamento global, em 2016, foi de € 22,06 bilhões. No mercado global e no mercado brasileiro, a SAP tem mostrado que o caminho para vencer os desafios da complexidade, diante de um cenário digital e de hiperconectividade, é a simplificação.","http://www.sap.com/brazil/","http://www.sap.com/brazil/","https://thumb.lovemondays.com.br/MDPsDvZVjuEeOOJyYEiiYPNX8LQ=/68x68/https://thumb.lovemondays.com.br/image/cc39b8497aae4217bb6ee87bd6a611d9/logos/b67813/sap.jpg"
"1534195521-566","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=s","3.9






Serviço Nacional de Aprendizagem Industrial (SENAI)

453 avaliações

1095 salários","https://www.lovemondays.com.br/trabalhar-na-servico-nacional-de-aprendizagem-industrial-senai","Serviço Nacional de Aprendizagem Industrial (SENAI)","Descrição:GOVERNO, ONG E ASSOCIAÇÕES","http://www.senai.br/","http://www.senai.br/","https://thumb.lovemondays.com.br/N67DN3Zhh5vaw-igOBAvbmulJo4=/68x68/https://media.lovemondays.com.br/logos/89de93/servico-nacional-de-aprendizagem-industrial-senai-original.png"
"1534195411-545","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=s","4.1






Serviço Brasileiro de Apoio às Micro e Pequenas Empresas (SEBRAE)

450 avaliações

920 salários","https://www.lovemondays.com.br/trabalhar-na-sebrae","Serviço Brasileiro de Apoio às Micro e Pequenas Empresas (SEBRAE)","Descrição:O Serviço Brasileiro de Apoio às Micro e Pequenas Empresas (Sebrae) é uma entidade privada sem fins lucrativos. É um agente de capacitação e de promoção do desenvolvimento, criado para dar apoio aos pequenos negócios de todo o país. Desde 1972, trabalha para estimular o empreendedorismo e possibilitar a competitividade e a sustentabilidade dos empreendimentos de micro e pequeno porte. Para garantir o atendimento aos pequenos negócios, o Sebrae atua em todo o território nacional. Onde tem Brasil, tem Sebrae. Além da sede nacional, em Brasília, a instituição conta com pontos de atendimento nas 27 unidades da Federação.","http://www.sebrae.com.br","http://www.sebrae.com.br/","https://thumb.lovemondays.com.br/NLNOKFyqlnTJrXgViKeWfPF69FE=/68x68/https://media.lovemondays.com.br/logos/4f599f/sebrae-original.png"
"1534195467-558","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=s","3.7






Softplan

278 avaliações

638 salários","https://www.lovemondays.com.br/trabalhar-na-softplan","Softplan","Descrição:A Softplan é uma das maiores empresas do Brasil no desenvolvimento de softwares de gestão. Atualmente suas soluções estão presentes em todos os estados brasileiros, em países da América Latina e nos Estados Unidos, fazendo a diferença na vida das pessoas. Desde 1990, a companhia atua de modo a tornar a gestão pública e privada no Brasil mais transparente, eficiente e ágil com o uso de tecnologias modernas e inovadoras. Ao longo desses anos, a Softplan se especializou no desenvolvimento e na implantação de softwares de gestão para os segmentos de Justiça, Infraestrutura e Obras, Gestão Pública, Projetos Cofinanciados por Organismos Internacionais e Indústria da Construção.","http://site.softplan.com.br/","http://site.softplan.com.br/","https://thumb.lovemondays.com.br/NOZ23eAzpgoLHDWi9_0AYq7l4Mk=/68x68/https://media.lovemondays.com.br/logos/b6e977/softplan-original.png"
"1534195471-559","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=s","3.8






Sodexo

397 avaliações

877 salários","https://www.lovemondays.com.br/trabalhar-na-sodexo","Sodexo","Descrição:A Sodexo foi fundada por Pierre Bellon em 1966 em Marseille, na França e é hoje a líder mundial em Serviços de Qualidade de Vida. A empresa opera em 80 países e é a 18ª maior empregadora mundial, com 428 mil colaboradores, que compartilham da mesma paixão pelo serviço.","http://br.sodexo.com/","http://br.sodexo.com/","https://thumb.lovemondays.com.br/FDWErNSxY4hSvTp65fFWZen8Be8=/68x68/https://media.lovemondays.com.br/logos/6de21c/sodexo-original.png"
"1534195458-556","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=s","4.0






Siemens

523 avaliações

1018 salários","https://www.lovemondays.com.br/trabalhar-na-siemens","Siemens","Descrição:A Siemens iniciou suas atividades no Brasil ainda no século 19, e fundou a subsidiária brasileira em 1905. Em mais de um século, assumimos a condição de maior empresa de tecnologia integrada do País. Hoje, nossas atividades estão agrupadas em quatro áreas – Energia, Indústria, Infraestrutura & Cidades e Saúde. O pioneirismo sempr e esteve presente na história da companhia. Nossa atuação mais antiga no Brasil aconteceu com a instalação da primeira linha telegráfica entre o Rio de Janeiro e o Rio Grande do Sul. Nossa posição sólida na indústria brasileira nos estimula a continuamente evoluir. Por exemplo: em 2013, nossos sistemas de diagnóstico permitiram um acréscimo de nove milhões de exames realizados no Brasil, além de inúmeros destaques nos mercados de energia, indústria e infraestrutura. Atualmente, empregamos no Brasil quase oito mil colaboradores, contamos com 14 fábricas, sete centros de Pesquisa & Desenvolvimento, além de 13 escritórios regionais.","http://www.siemens.com.br/","http://www.siemens.com.br/","https://thumb.lovemondays.com.br/ktgas49ooUZSHxHdzW-do-mZQF4=/68x68/https://thumb.lovemondays.com.br/image/391e233cf3c843bcbc5e02f50b0fa04a/logos/8da77e/siemens.jpg"
"1534195529-568","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=s","3.7






Senior Sistemas

173 avaliações

429 salários","https://www.lovemondays.com.br/trabalhar-na-senior-sistemas","Senior Sistemas","Descrição:A Senior é referência nacional em softwares para gestão. Com um dos mais completos portfólios para alta performance, oferece às empresas de diversos portes e segmentos soluções em Gestão Empresarial, Logística, Gestão de Pessoas e Gestão de Acesso e Segurança.

Fundada em 1988 em Blumenau (SC), atua em todo o Brasil com filiais, escritórios, unidades de negócios e canais de distribuição, oferecendo tanto consultorias como sistemas integrados que apoiam seus clientes na otimização de processos e modelos de negócios, inovação e produtividade, simplificando a tomada de decisão e impulsionando a gestão.","http://www.senior.com.br/","http://www.senior.com.br/","https://thumb.lovemondays.com.br/0taedw_3HymSkhJwB_8daz9xvF4=/68x68/https://thumb.lovemondays.com.br/image/9621eea32ed24033b3a03d2506e139a8/logos/003556/senior-sistemas.png"
"1534195446-553","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=s","3.1






Stefanini

1228 avaliações

2869 salários","https://www.lovemondays.com.br/trabalhar-na-stefanini","Stefanini","Descrição:A Stefanini é uma multinacional brasileira com 26 anos de atuação no setor de Serviços em TI. Totalmente verticalizada por segmento de indústrias, a consultoria possui grande expertise no mercado financeiro (atende as dez maiores instituições financeiras do País), telecomunicações, seguradoras e setor público. Presente em 30 países, sua oferta de serviços abrange Consultoria, Integração, Desenvolvimento de Soluções e Outsourcing para Aplicativos e Infraestrutura; e ainda BPO para processos de negócios. Reconhecida mundialmente, a Stefanini está entre as 100 maiores empresas de TI do mundo (BBC News) e foi apontada como a terceira empresa transnacional mais internacionalizada, segundo ranking da Fundação Dom Cabral.","http://stefanini.com/br/","http://stefanini.com/br/","https://thumb.lovemondays.com.br/U2K_2A_98m9myHIyw_A406YYY48=/68x68/https://media.lovemondays.com.br/logos/3c16c3/stefanini-original.png"
"1534195517-565","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=s","4.0






Serviço Nacional de Aprendizagem Comercial (SENAC)

568 avaliações

1273 salários","https://www.lovemondays.com.br/trabalhar-na-servico-nacional-de-aprendizagem-comercial-senac","Serviço Nacional de Aprendizagem Comercial (SENAC)","Descrição:O Serviço Nacional de Aprendizagem Comercial (Senac) é, desde sua criação, em 1946, o principal agente da educação profissional voltado para o Setor do Comércio de Bens, Serviços e Turismo. Mais de 55 milhões de atendimentos já foram prestados pelo Senac. A Instituição oferece toda a sua experiência a trabalhadores e empresários, com programações presenciais e a distância, de norte a sul do Brasil. São milhares de programações, em centenas de ambientes educacionais de ponta e especializados, como as empresas pedagógicas e as unidades móveis, espalhados em mais de 4 mil municípios, em todos os estados do país e no Distrito Federal.","http://www.senac.br/","http://www.senac.br/","https://thumb.lovemondays.com.br/WL9FHR33Pwjn7mH58Uto1Rdyd_0=/68x68/https://media.lovemondays.com.br/logos/892f7a/servico-nacional-de-aprendizagem-comercial-senac-original.jpg"
"1534195398-542","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=s","4.1






Tribunal de Justiça do Estado do São Paulo (TJ/SP)

349 avaliações

944 salários","https://www.lovemondays.com.br/trabalhar-na-tribunal-de-justica-do-estado-do-sao-paulo-tjsp","Tribunal de Justiça do Estado do São Paulo (TJ/SP)","Site
http://www.tjsp.jus.br/","http://www.tjsp.jus.br/","http://www.tjsp.jus.br/","https://thumb.lovemondays.com.br/mQBQOr2cjC2X8IfcMAhlgXN8z5k=/68x68/https://media.lovemondays.com.br/logos/7d31e2/tribunal-de-justica-do-estado-do-sao-paulo-tjsp-1-original.png"
"1534195542-571","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=s","4.0






Serviço Social do Comércio (SESC)

344 avaliações

997 salários","https://www.lovemondays.com.br/trabalhar-na-servico-social-do-comercio-sesc","Serviço Social do Comércio (SESC)","Descrição:Mantido pelos empresários do comércio de bens e serviços, o Serviço Social do Comércio - Sesc - é uma entidade privada que objetiva proporcionar o bem-estar e qualidade de vida do comerciário, sua família e da sociedade. Localizado em todos os estados brasileiros, o Sesc incentiva a educação de qualidade como diretriz primordial no desenvolvimento do cidadão. Valoriza a diversidade cultural local e promove atividades em prol da melhoria das condições de vida no dia a dia dos trabalhadores do comércio de bens, serviços e turismo.","http://www.sesc.com.br/","http://www.sesc.com.br/","https://thumb.lovemondays.com.br/H5SB_8irS17qfRPSxYSLtqvNFk0=/68x68/https://thumb.lovemondays.com.br/image/5a1bae171ad54b5aac793e1a59c81b76/logos/d078c8/servico-social-do-comercio-sesc.png"
"1534195502-562","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=s","3.8






Sicredi

452 avaliações

1166 salários","https://www.lovemondays.com.br/trabalhar-na-sicredi","Sicredi","Descrição:Somos uma instituição financeira cooperativa, referência internacional pelo modelo de atuação em sistema. Somos 118 cooperativas de crédito filiadas, que operam com uma rede de atendimento com mais de 1.500 agências. A nossa estrutura conta ainda com cinco Centrais Regionais – acionistas da Sicredi Participações S.A., uma Confederação, uma Fundação e um Banco Cooperativo e suas empresas controladas. Todas essas entidades, juntas, formam o Sicredi e adotam um padrão operacional único. A atuação em sistema permite ganhos de escala e aumenta o potencial das nossas cooperativas de crédito para exercer a atividade em um mercado no qual estão presentes grandes conglomerados financeiros.



Somos feitos por pessoas e para pessoas e temos como diferencial um modelo de gestão que valoriza a participação. Os mais de 3,5 milhões de associados votam e decidem sobre os rumos da nossa cooperativa de crédito.","http://www.sicredi.com.br/","http://www.sicredi.com.br/","https://thumb.lovemondays.com.br/y0uJRApL261f8H7BlA3OGi0fe8Y=/68x68/https://thumb.lovemondays.com.br/image/10394e8202014557ba614939cb59bbcf/logos/bd2ff0/sicredi.png"
"1534195442-552","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=s","3.4






Sanofi

324 avaliações

653 salários","https://www.lovemondays.com.br/trabalhar-na-sanofi","Sanofi","Descrição:A Sanofi é uma empresa integrada em saúde, comprometida com a pesquisa, desenvolvimento, fabricação e comercialização de produtos para cuidados de saúde. Posusi mais de 110 mil colaboradores e presente em 100 países. No Brasil, está há mais de cinco décadas e possui mais de cinco mil colabordores. No país, comanda marcas como a Sanofi Farma, Sanofi Pasteur, Medley, Merial e Genzyme.","http://www.sanofi.com.br/l/br/pt/index.jsp","http://www.sanofi.com.br/l/br/pt/index.jsp","https://thumb.lovemondays.com.br/Q7jO4vAozaqxO7tvyBODOTzwNng=/68x68/https://media.lovemondays.com.br/logos/59aa95/sanofi-original.png"
"1534195402-543","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=s","4.1






Serviço Social da Indústria de São Paulo (SESI/SP)

47 avaliações

159 salários","https://www.lovemondays.com.br/trabalhar-na-servico-social-da-industria-de-sao-paulo-sesisp","Serviço Social da Indústria de São Paulo (SESI/SP)","Descrição:O Serviço Social da Indústria (Sesi) é uma entidade de direito privado, nos termos da lei civil, estruturada em base federativa para prestar assistência social aos trabalhadores industriais e de atividades assemelhadas em todo o País.","http://www.sesisp.org.br/","http://www.sesisp.org.br/","https://thumb.lovemondays.com.br/dIhx9xR3aA1w3U99a8ALM7qBt6g=/68x68/https://media.lovemondays.com.br/logos/df6da3/servico-social-da-industria-de-sao-paulo-sesisp-original.png"
"1534195415-546","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=s","3.5






Subway

370 avaliações

647 salários","https://www.lovemondays.com.br/trabalhar-na-subway","Subway","Descrição:A SUBWAY® foi fundada em 1965 por Fred Deluca e começou a franquear unidades em 1974. A empresa une o conceito de fast food com o princípio de uma vida saudável. Mais de 6 milhões de combinações de sanduíches são feitas na hora, distribuídos em mais de 41 mil restaurantes em 105 países diferentes. Iniciou a sua operação no Brasil em 1994, sendo hoje um dos principais mercados da rede SUBWAY®.","http://www.subway.com.br/","http://www.subway.com.br/",""
"1534195454-555","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=s","3.6






Sicoob

264 avaliações

845 salários","https://www.lovemondays.com.br/trabalhar-na-sicoob","Sicoob","Descrição:O Sicoob é o maior sistema financeiro cooperativo do país. É composto por cooperativas financeiras e empresas de apoio, que em conjunto oferecem aos associados serviços de conta corrente, crédito, investimento, cartões, previdência, consórcio, seguros, cobrança bancária, adquirência de meios eletrônicos de pagamento, dentre outros. Ou seja, tem todos os produtos e serviços bancários, mas não é banco. É uma cooperativa financeira, onde os clientes são os donos e por isso os resultados financeiros são divididos entre os cooperados.","http://www.sicoob.com.br/","http://www.sicoob.com.br/","https://thumb.lovemondays.com.br/aZVi-uHjX4-CbxiZDbT9h2AzpNE=/68x68/https://media.lovemondays.com.br/logos/2ac609/sicoob-original.png"
"1534195435-551","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=s","3.6






Stone

467 avaliações

909 salários","https://www.lovemondays.com.br/trabalhar-na-stone","Stone","Descrição:A Stone é uma Adquirente de meios de pagamento, autorizada pela Visa e Mastercard a credenciar lojistas, processar e autorizar transações de cartão de crédito com essas bandeiras e outras. A companhia nasceu com o propósito de fazer diferente, servir nossos comerciantes com excelência e prover as melhores tecnologias e inovações do mercado. A Stone evolui a cada dia e, apesar de nova, possui uma tecnologia própria, robusta, capaz de suportar 10.000 transações por segundo.","http://www.stone.com.br","http://www.stone.com.br/","https://thumb.lovemondays.com.br/PvdE9gOO2iM7XyCunnOIlmlVnJs=/68x68/https://thumb.lovemondays.com.br/image/fba8f5b3f12e47b59d8f0bd15efd8988/logos/13a7cf/stone.png"
