web-scraper-order,web-scraper-start-url,empresas,empresas-href,name,description,site,site-href,logo-src
"1534190215-43","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=b","3.2






Burger King

617 avaliações

1005 salários","https://www.lovemondays.com.br/trabalhar-na-burger-king","Burger King","Descrição: O Burger King é a segunda maior rede de hambúrgueres do mundo, tendo mais de 12 mil lojas, servindo mais de 11 milhões de consumidores por dia em 76 países do mundo. Fundado em 1954, o Burger King foi pela 3G Capital. Lar original do WHOPPER®, 90% dos restaurantes pertencem e são operados por franquias, muitas operadas por empresas familiares que estão no ramo há anos.","http://www.burgerking.com.br/","http://www.burgerking.com.br/","https://thumb.lovemondays.com.br/Lne_spweMGbb3x6ZZJRPFyiebXc=/68x68/https://media.lovemondays.com.br/logos/38667c/burger-king-original.png"
"1534190321-62","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=b","3.9






GRUPO SEGURADOR BANCO DO BRASIL E MAPFRE

337 avaliações

648 salários","https://www.lovemondays.com.br/trabalhar-na-grupo-segurador-banco-do-brasil-e-mapfre","GRUPO SEGURADOR BANCO DO BRASIL E MAPFRE","Descrição: Em 2010, o Banco do Brasil, com sua subsidiária BB Seguros Participações S.A., se juntou ao Grupo Mapfre, gerando o Grupo Segurador Banco do Brasil e Mapfre. A sociedade tem como objetivo atuar no desenvolvimento e comercialização de produtos de seguros no Brasil, incluindo agrícola, veículos e habitacionais. Possui mais de 5 mil colaboradores e mais de 25 mil pontos de vendas.","http://www.bbmapfre.com.br","http://www.bbmapfre.com.br/","https://thumb.lovemondays.com.br/voam4OVTKnR3ADCZq9dqVxgKbo8=/68x68/https://thumb.lovemondays.com.br/image/5d8b6344c201490394426a884a504366/logos/4d8ca1/grupo-segurador-banco-do-brasil-e-mapfre-1.jpg"
"1534190305-60","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=b","4.2






BASF

444 avaliações

863 salários","https://www.lovemondays.com.br/trabalhar-na-basf","BASF","Descrição: A BASF é a empresa química líder mundial. Sua meta é crescer de forma rentável, e melhorar ainda mais o valor de nossa empresa. Ajudam clientes a atingir o sucesso por meio de soluções inteligentes e produtos de alta qualidade. O portfólio da BASF abrange desde produtos químicos, plásticos, produtos performance, para agricultura e química fina, até óleo crú e gás natural. Por meio de novas formas de tecnologia, podem ativar novas oportunidades de mercado. Afirmam conduzir nossos negócios de acordo com os princípios do desenvolvimento sustentável.","http://www.basf.com.br","http://www.basf.com.br/","https://thumb.lovemondays.com.br/4HwbHuAFzf3OGdiB64EVbA6_7o4=/68x68/https://media.lovemondays.com.br/logos/23b5f7/basf-original.jpg"
"1534190202-40","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=b","3.6






Chilli Beans

581 avaliações

602 salários","https://www.lovemondays.com.br/trabalhar-na-chilli-beans","Chilli Beans","Descrição: ""A maior rede brasileira de óculos escuros e acessórios"". Essa definição resume a Chilli Beans: provocativa, ardente e envolvente. É a marca da pimenta. Uma marca que, toda semana, lança novos óculos, novos relógios e novas possibilidades. Ou seja, novas formas de compor seu visual. Com mais de 580 pontos de venda exclusivos no Brasil, Estados Unidos, Portugal, Peru, Colômbia e Kuwait, a Chilli Beans é uma marca diversificada, com uma linha de produtos que inclui, além dos óculos escuros e relógios, armações de óculos de grau e lentes em pontos de vendas exclusivos. Além disso, a marca está por trás de um mundo de ações de patrocínio de festas, shows, esportes e ações sociais.","http://chillibeans.com.br/","http://chillibeans.com.br/","https://thumb.lovemondays.com.br/3prOz4kRe_Th0o0I8XCTiDa7r7o=/68x68/https://media.lovemondays.com.br/logos/b6c2c4/chilli-beans-original.png"
"1534190334-64","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=b","3.9






Banco Mercantil do Brasil

159 avaliações

410 salários","https://www.lovemondays.com.br/trabalhar-na-banco-mercantil-do-brasil","Banco Mercantil do Brasil","Descrição: O Mercantil do Brasil compõe o Grupo Mercantil do Brasil, com empresas no segmento financeiro – investimentos, crédito, financiamentos, títulos e valores imobiliários, câmbio, arrendamento mercantil, administração e corretagem de seguros – e no segmento não financeiro – administração e corretagem de seguros e previdência privada, serviços e negócios imobiliários e securitização de créditos financeiros.

Além da sua atuação no setor de finanças, o Banco investe em projetos alinhados a princípios, conduta ética e valores institucionais e incentiva iniciativas de responsabilidade socioambiental nas comunidades onde está presente. Assim reforça seu compromisso, não só com clientes e acionistas, mas também com o meio ambiente e com a sociedade.","http://mercantildobrasil.com.br/","http://mercantildobrasil.com.br/","https://thumb.lovemondays.com.br/4ftnEVtf1EZ6_a4fz2ioiCLdezI=/68x68/https://media.lovemondays.com.br/logos/1b4d6f/banco-mercantil-do-brasil-original.gif"
"1534190232-46","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=b","3.2






B2W Digital

838 avaliações

1741 salários","https://www.lovemondays.com.br/trabalhar-na-b2w-digital","B2W Digital","Descrição: Nosso propósito é conectar pessoas, negócios, produtos e serviços em uma mesma plataforma digital. Por isso, a B2W Digital quer, cada vez mais, estar sempre próxima dos clientes, oferecendo a melhor experiência de compra e desenvolvendo os melhores talentos.","http://www.b2wdigital.com/","http://www.b2wdigital.com/","https://thumb.lovemondays.com.br/bpXyBxjXfexchMAl1q6JLZaFkL8=/68x68/https://thumb.lovemondays.com.br/image/2ad9229fe87c4270980e9f952d6e9abb/logos/921a01/b2w-digital.png"
"1534190302-59","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=b","4.3






Braskem

444 avaliações

904 salários","https://www.lovemondays.com.br/trabalhar-na-braskem","Braskem","Descrição: A Braskem foi fundada com a integração de seis empresas no setor químico e petroquímico. Nos anos que se seguiram, registrou uma série de aquisições, inicialmente no Brasil, com a perspectiva de consolidação da petroquímica brasileira e, a partir de 2010, também no exterior, com unidades produtivas nos Estados Unidos e na Alemanha, firmando-se como um importante player global no mercado de resinas termoplásticas. Após 15 anos de sua fundação, a empresa destaca-se por sua atuação inovadora. Atualmente, conta com cerca de 7.600 Integrantes e 41 unidades industriais (29 no Brasil, 6 nos Estados Unidos, 4 no México e 2 na Alemanha), além de escritórios e bases comerciais nas Américas, Europa e Ásia. Em parceria com clientes, está presente em mais de 100 países.","http://www.braskem.com.br","http://www.braskem.com.br/","https://thumb.lovemondays.com.br/2aqfrkRO2Wq5GuYdC08Y5HzqH0w=/68x68/https://thumb.lovemondays.com.br/image/57554f08e39c499fb822de85fb841a66/logos/35f366/braskem.png"
"1534190294-58","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=b","3.7






Bunge

338 avaliações

788 salários","https://www.lovemondays.com.br/trabalhar-na-bunge","Bunge","Descrição: A Bunge é uma empresa global e integrada de agronegócio, alimentos e bioenergia, que opera em toda a cadeia produtiva do campo à mesa do consumidor. No Brasil, a Bunge é uma das principais empresas de agronegócio e alimentos. Com mais de 20.000 colaboradores, é líder em originação de grãos e processamento de soja e trigo, na produção de fertilizantes, na fabricação de produtos alimentícios e em serviços portuários. Desde 2006, atua também no segmento de açúcar e bioenergia. A Bunge afirma que sua razão de existir está no valor que geram para a sociedade, na filosofia que orienta seus relacionamentos e na responsabilidade ambiental que pauta suas iniciativas.","http://www.bunge.com.br","http://www.bunge.com.br/","https://thumb.lovemondays.com.br/QOqZL00rT5YXKglDsMZhzgzttgM=/68x68/https://thumb.lovemondays.com.br/image/abc366aa7e4243019693cab9d1525e3a/logos/41b818/bunge.png"
"1534190352-67","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=b","3.3






BDO Brasil

207 avaliações

510 salários","https://www.lovemondays.com.br/trabalhar-na-bdo-brasil","BDO Brasil","Descrição: Presidida por Raul Corrêa da Silva, a BDO RCS foi fundada em 2001 e desde então mantém participação expressiva no mercado de auditorias. Presente em mais de 130 países e com filiais em 13 estados brasileiros, a empresa presta serviços de auditoria, auditoria de desempenho, lucratividade, viabilização de negócios, tributos, societário, controladoria, gestão de obras, consultoria trabalhista, sustentabilidade, gestão esportiva, auditoria de tiragem, distribuição e circulação e gestão de risco.","http://www.bdobrazil.com.br/","http://www.bdobrazil.com.br/","https://thumb.lovemondays.com.br/1aLxL2G63rX447t0LFnmZGIpyqo=/68x68/https://media.lovemondays.com.br/logos/4a1080/bdo-brasil-original.png"
"1534190341-65","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=b","3.7






BRF Brasil Foods

1703 avaliações

3549 salários","https://www.lovemondays.com.br/trabalhar-na-brf-brasil-foods","BRF Brasil Foods","Descrição: A BRF foi criada a partir da associação entre Perdigão e Sadia. Atua nos segmentos de carnes (aves, suínos e bovinos), alimentos processados de carnes, lácteos, margarinas, massas, pizzas e vegetais congelados, com marcas consagradas como Sadia, Perdigão, Batavo, Elegê, Qualy, entre outras. Com receita líquida de R$ 28,5 bilhões, registrada em 2012, a BRF é uma das maiores exportadoras mundiais de aves e destaca-se entre as maiores empresas globais de alimentos em valor de mercado. A BRF é uma das maiores empregadoras privadas do país, com cerca de 110 mil funcionários. Opera 50 fábricas em todas as regiões do Brasil e possui sólida rede de distribuição que, por meio de 33 centros de distribuição.","https://www.brf-br.com","https://www.brf-br.com/","https://thumb.lovemondays.com.br/Oe5wzKTX6aLU_zlSzQ7mVQ20Iok=/68x68/https://media.lovemondays.com.br/logos/7960eb/brf-brasil-foods-original.png"
