web-scraper-order,web-scraper-start-url,empresas,empresas-href,name,description,site,site-href,logo-src
"1534191902-164","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=f","4.0






Foxconn

167 avaliações

225 salários","https://www.lovemondays.com.br/trabalhar-na-foxconn","Foxconn","Descrição:O maior fabricante de produtos 3C (Computadores, Comunicações e Consumos Eletrônicos) tem presença global em toda a Europa, Américas e Ásia. Em 2012, alcançou a faixa de 1,5 milhões de funcionários. No Brasil, a Foxconn iniciou as suas atividades no ano de 2005, em Manaus (AM), com a fabricação de celulares. Mais tarde, em 2007, a fábrica expandiu suas atividades e passou a fabricar máquinas fotográficas digitais. Um ano antes, em 2006, a Companhia abriu outra fábrica na cidade de Indaiatuba (SP), também voltada para a fabricação de aparelhos celulares. Em março de 2007, a Empresa inaugurou a sua maior planta no País, na cidade de Jundiaí (SP). O local foi desenvolvido especialmente para a fabricação de computadores, notebooks e netbooks, além das placas mãe desses equipamentos. Mais adiante, em 2011, a companhia abriu mais uma unidade na cidade, às margens da Rodovia Anhanguera, voltada especificamente para a montagem de smartphones e tablets.","http://foxconn.com.br/","http://foxconn.com.br/","https://thumb.lovemondays.com.br/sGNAyHwJWsyj2aM9oWq265o5As0=/68x68/https://media.lovemondays.com.br/logos/10b923/foxconn-original.png"
"1534191877-159","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=f","4.4






Takeda Farmacêutica Brasil

265 avaliações

347 salários","https://www.lovemondays.com.br/trabalhar-na-takeda-farmaceutica-brasil","Takeda Farmacêutica Brasil","Descrição:A Takeda é uma companhia farmacêutica global com mais de 30.000 colaboradores trabalhando juntos em mais de 70 países. Os nossos esforços são de modo contínuo em colocar as pessoas em primeiro lugar e vivermos nossos valores do Takedaísmo: integridade, justiça, honestidade e perseverança. Estamos unidos há mais de 230 anos com o legado de cumprir a nossa missão que é: promover uma saúde melhor e um futuro mais brilhante para as pessoas em todo o mundo, por meio dos nossos produtos farmacêuticos que são baseados em pesquisa e inovação em medicina. Aqui, todas as pessoas são importantes e os nossos colaboradores são essenciais para a realização da nossa inspiradora e ousada missão. Na Takeda, você transformar a vida das pessoas - incluindo a sua.

No Brasil, a companhia está entre as 10 principais farmacêuticas do país e tem duas fábricas instaladas em território nacional - Jaguariúna (SP) e São Jerônimo (RS). Seu portfólio conta com produtos sem prescrição (CHC) conhecidos como: Neosaldina®, Eparema® e Nebacetin®. Além disso, possui medicamentos líderes na área de gastroenterologia, cardiometabólica, imunologia e oncologia. Saiba mais em takedajobs.com","http://www.takedabrasil.com/","http://www.takedabrasil.com/","https://thumb.lovemondays.com.br/Pv18gbIK4RjPHAr-qKD9MizNZHo=/370x370/https://media.lovemondays.com.br/empregados/d78dbf/bruna-original.jpg"
"1534191924-169","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=f","4.1






Aché Laboratórios Farmacêuticos

227 avaliações

539 salários","https://www.lovemondays.com.br/trabalhar-na-ache-laboratorios-farmaceuticos","Aché Laboratórios Farmacêuticos","Descrição:O Aché é uma empresa 100% brasileira com mais de 50 anos de atuação no mercado farmacêutico. Conta com três complexos industriais: em Guarulhos (SP), São Paulo (SP) e Londrina (PR) e participação na Melcon do Brasil, no Laboratório Tiaraju e na Bionovis, joint-venture brasileira dedicada à pesquisa e desenvolvimento de medicamentos biotecnológicos. Emprega 4.600 colaboradores e possui uma das maiores forças de geração de demanda e de vendas do setor farmacêutico no Brasil.

Para atender às necessidades dos profissionais da saúde e consumidores, o Aché oferece um portfólio com 326 marcas em 804 apresentações de medicamentos sob prescrição, genéricos e MIP (isentos de prescrição), além de atuar nos segmentos de dermocosméticos, nutracêuticos, probióticos e biológicos. Ao todo, são 142 classes terapêuticas e 25 especialidades médicas atendidas. Com a internacionalização, a empresa fechou acordo de exportação para 20 países das Américas, África e Ásia.

Em 2016 e 2015, o Aché ficou em 1º lugar na categoria Farma e Life Science do prêmio Inovação Brasil do jornal Valor Econômico, em parceria com a consultoria Strategy&. Também em 2016, foi reconhecido como o 1º do setor farmacêutico nas dimensões Desempenho Financeiro e Responsabilidade Socioambiental, no anuário Época Negócios 360º – As Melhores Empresas do Brasil, e conquistou o 1º lugar na categoria Indústria Farmacêutica na 14ª edição do estudo Empresas que Mais Respeitam o Consumidor. Em 2015 e 2016, conquistou a 1ª colocação do setor no Prêmio Empresas Mais, pelo jornal O Estado de S. Paulo e pela Fundação Instituto de Administração (FIA), ligada à Universidade de São Paulo.

O propósito da companhia é gerar e compartilhar valor com seus diferentes públicos, levando mais vida às pessoas onde quer que elas estejam, para que possam viver mais e melhor.","http://www.ache.com.br/","http://www.ache.com.br/","https://thumb.lovemondays.com.br/WL-l3KVPemjtGWEY_q4wcL0PzR4=/68x68/https://thumb.lovemondays.com.br/image/31b35d6ec29c45ee92597914c03bfc58/logos/be3a8a/ache-laboratorios-farmaceuticos.jpg"
"1534191978-182","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=f","3.5






Falconi

260 avaliações

541 salários","https://www.lovemondays.com.br/trabalhar-na-falconi","Falconi","Descrição:A FALCONI é reconhecida pela capacidade de ajudar as organizações a construir resultados excepcionais pelo aperfeiçoamento de seu sistema de gestão. Fundada pelo Professor Vicente Falconi, atua há mais de 30 anos no mercado. Nossa equipe de consultores atua dentro dos clientes, com o objetivo de identificar presencialmente os problemas e suas causas. Tendo por base a utilização de um método conhecido em todo o mundo, o PDCA, oferecemos as melhores soluções de gestão. A forma de trabalho consiste em transferir conhecimento gerencial com foco em resultados. Isso é feito por meio da implementação de um moderno e eficaz sistema de gestão, no qual cada profissional conhece seu papel para que os resultados sejam obtidos. Nós acreditamos no aprendizado por projeto. Aplicamos nosso método com disciplina e envolvendo as pessoas para estabelecer e atingir metas desafiadoras. Dessa forma, o resultado que entregamos é muito mais consistente e duradouro. Isso porque se baseia no crescimento e desenvolvimento da equipe do cliente, no decorrer do projeto.","http://www.falconi.com/","http://www.falconi.com/","https://thumb.lovemondays.com.br/p9V2Znzn-_umhrdLp6W1pA1wvFM=/68x68/https://media.lovemondays.com.br/logos/75a440/falconi-1-original.png"
"1534191898-163","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=f","4.0






Furnas

139 avaliações

223 salários","https://www.lovemondays.com.br/trabalhar-na-furnas","Furnas","Descrição:A Eletrobras Furnas é uma subisidiária da Eletrobras, e ligada ao Ministério de Minas e Energias, que atua no segmento de geração e transmissão de energia em alta e extra-alta tensão. Criada em 1957, na cidade do Rio de Janeiro, opera com 12 usinas hidrelétricas e duas termoelétricas, além de 49 subestações, atendendo 51% da população brasileira nas regiões Norte, Sul, Sudeste e Centro-Oeste. Atualmente, a Eletrobras Furnas posui mais de seis mil funcionários em todo o país","http://www.furnas.com.br/","http://www.furnas.com.br/","https://thumb.lovemondays.com.br/bBdiUOodhbRD9rp6tKSH26GHMFM=/68x68/https://media.lovemondays.com.br/logos/57ae35/furnas-original.png"
"1534191935-172","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=f","3.6






Coca Cola Femsa

436 avaliações

1145 salários","https://www.lovemondays.com.br/trabalhar-na-coca-cola-femsa","Coca Cola Femsa","Descrição:A Coca-Cola FEMSA, S. A. B. de C. V., também conhecida como Coca-Cola FEMSA ou KOF, é um empresa multinacional de bebidas mexicana com sede na Cidade do México. Ele é uma subsidiária da FEMSA, que possui 48% de suas ações, com 28% pertencentes a subsidiárias integrais da The Coca-Cola Company e os 24% restantes listados publicamente na Bolsa Mexicana de Valores (desde 1993) e na New York Stock Exchange (desde 1998).[1] É a maior franquia engarrafadora de Coca-Cola em todo mundo, tendo operações em países da América Latina e nas Filipinas, sendo que o seu maior e mais rentável mercado está no México.","https://www.coca-colafemsa.com/","https://www.coca-colafemsa.com/","https://thumb.lovemondays.com.br/R9_rpA27TxGd-zA2Zii89482Uyw=/68x68/https://media.lovemondays.com.br/logos/470fad/coca-cola-femsa-original.png"
"1534191957-177","https://www.lovemondays.com.br/pesquisa/empresa/pagina/1?external_job_city_id=&external_job_city_name=&q=f","3.3






Fast Shop

261 avaliações

515 salários","https://www.lovemondays.com.br/trabalhar-na-fast-shop","Fast Shop","Descrição:A rede Fast Shop começou a operar em 1986 como uma concessionária autorizada Yamaha que vendia motocicletas, motores de popa, jetski, peças e prestava assistência técnica para estes produtos, na zona norte de São Paulo. Alguns anos mais tarde, em 1991, a empresa tomou novas diretrizes e deu início à operação de logística de entrega de eletrodomésticos aos contemplados das grandes administradoras de consórcio. Em 1996, a Fast Shop inaugurou sua primeira loja dentro de um shopping center e no ano de 2000, a rede inaugurou seu site de vendas pela internet. Hoje, o endereço da empresa (www.fastshop.com.br) recebe mais de 5 milhões de visitantes por mês e oferece a possibilidade do Brasil inteiro comprar pela web.","http://www.fastshop.com.br/","http://www.fastshop.com.br/","https://thumb.lovemondays.com.br/TAM45PtyamaGhXba6_45OvRnRFE=/68x68/https://media.lovemondays.com.br/logos/6deedc/fast-shop-original.png"
"1534191909-166","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=f","3.8






FQM Farmoquímica

47 avaliações

124 salários","https://www.lovemondays.com.br/trabalhar-na-fqm-farmoquimica","FQM Farmoquímica","Site
http://www.fqm.com.br","http://www.fqm.com.br","http://www.fqm.com.br/","https://thumb.lovemondays.com.br/RS04oMmq2mkW85BFEkRRdahJ__0=/68x68/https://media.lovemondays.com.br/logos/b7bbcc/fqm-farmoquimica-original.jpg"
"1534191888-161","https://www.lovemondays.com.br/pesquisa/empresa/pagina/3?external_job_city_id=&external_job_city_name=&q=f","3.9






Vale Fertilizantes

140 avaliações

302 salários","https://www.lovemondays.com.br/trabalhar-na-vale-fertilizantes","Vale Fertilizantes","Descrição:A Vale Fertilizantes é uma empresa que atua no segmento de fertilizantes, ração animal e químicos. Seus fertilizantes são compostos por três nutrientes, que são nitrogênio, fósforo e potássio. Opera em diversos locais do Brasil, com doze unidades em Patos de Minas (MG), Uberaba (MG), Catalão (GO), Taquari Vassouras (SE), Cubatão (SP), Cajati (SP), Araxá (MG), Guará (SP) e Tapira (MG), com a produção de cloreto de potássio, fertilizantes fosfatados e nitrogenados, além de rocha fosfática.","http://www.valefertilizantes.com/","http://www.valefertilizantes.com/","https://thumb.lovemondays.com.br/AYbdj-QdzKObPXkmqnVw06cGARc=/68x68/https://media.lovemondays.com.br/logos/4fc12d/vale-fertilizantes-original.png"
"1534191931-171","https://www.lovemondays.com.br/pesquisa/empresa/pagina/2?external_job_city_id=&external_job_city_name=&q=f","3.3






FedEx Express Brasil

305 avaliações

645 salários","https://www.lovemondays.com.br/trabalhar-na-fedex-express-brasil","FedEx Express Brasil","Descrição:A Federal Express, também conhecida como FedEx ou FedExCorporation é uma empresa fundada nos Estados Unidos em junho de 1841. Realiza transportes expressos de correspondências, documentos e objetos. É a segunda maior empresa de transporte aéreo mundial, atrás apenas da Delta Airlines. Atua em todo o mundo com aproximandamente 650 aviões, 44 mil veículos e mais de 280 mil colaboradores, permitindo o transporte de mais de 8 milhões de encomendas diariamente","http://www.fedex.com/br/","http://www.fedex.com/br/","https://thumb.lovemondays.com.br/w_zOp1YSjkqdiKVZF5pGosEyEoo=/68x68/https://media.lovemondays.com.br/logos/772643/fedex-express-brasil-original.png"
